"","company","streetadd","place","state","zip"
"462","Ingredion","5 Westbrook Corporate Center","Westchester","Illinois","60154"
"463","Navient","123 Justison Street","Wilmington","Delaware","19801"
"464","MeadWestvaco","501 S. Fifth St.","Richmond","Virginia","23219"
"465","AGL Resources","10 Peachtree Place N.E.","Atlanta","Georgia","30309"
"466","St. Jude Medical","1 St. Jude Medical Dr.","St. Paul","Minnesota","55117"
"467","J.M. Smucker","1 Strawberry Lane","Orrville","Ohio","44667"
"468","Western Union","12500 E.Belford Ave.","Englewood","Colorado","80112"
"469","Clorox","1221 Broadway","Oakland","California","94612"
"470","Domtar","100 Kingsley Park Dr.","Fort Mill","South Carolina","29715"
"471","Kelly Services","999 W. Big Beaver Rd.","Troy","Michigan","48084"
"472","Old Republic International","307 N. Michigan Ave.","Chicago","Illinois","60601"
"473","Advanced Micro Devices","1 AMD Place","Sunnyvale","California","94085"
"474","Netflix","100 Winchester Circle","Los Gatos","California","95032"
"475","Booz Allen Hamilton Holding","8283 Greensboro Dr.","McLean","Virginia","22102"
"476","Quintiles Transnational Holding","4820 Emperor Blvd.","Durham","North Carolina","27703"
"477","Wynn Resorts","3131 Las Vegas Blvd. S.","Las Vegas","Nevada","89109"
"478","Jones Lang LaSalle","200 E. Randolph Dr.","Chicago","Illinois","60601"
"479","Regions Financial","1900 Fifth Ave. N.","Birmingham","Alabama","35203"
"480","CH2M Hill","9191 S. Jamaica St.","Englewood","Colorado","80112"
"481","Western & Southern Financial Gr","400 Broadway","Cincinnati","Ohio","45202"
"482","Lithia Motors","150 N. Bartlett St.","Medford","Oregon","97501"
"483","salesforce.com","1 Market St.","San Francisco","California","94105"
"484","Alaska Air Group","19300 International Blvd.","Seattle","Washington","98188"
"485","Host Hotels & Resorts","6903 Rockledge Dr.","Bethesda","Maryland","20817"
"486","Harman International Industries","400 Atlantic St.","Stamford","Connecticut","6901"
"487","Amphenol","358 Hall Ave.","Wallingford","Connecticut","6492"
"488","Realogy Holdings","175 Park Ave.","Madison","New Jersey","7940"
"489","Essendant","1 Parkway N. Blvd.","Deerfield","Illinois","60015"
"490","Hanesbrands","1000 E. Hanes Mill Rd.","Winston-Salem","North Carolina","27105"
"491","Kindred Healthcare","680 S. Fourth St.","Louisville","Kentucky","40202"
"492","ARRIS Group","3871 Lakefield Dr.","Suwanee","Georgia","30024"
"493","Insight Enterprises","6820 S. Harl Ave.","Tempe","Arizona","85283"
"494","Alliance Data Systems","7500 Dallas Pkwy.","Plano","Texas","75024"
"495","LifePoint Health","330 Seven Springs Way","Brentwood","Tennessee","37027"
"496","Pioneer Natural Resources","5205 N. O'Connor Blvd.","Irving","Texas","75039"
"497","Wyndham Worldwide","22 Sylvan Way","Parsippany","New Jersey","7054"
"498","Owens Corning","1 Owens Corning Pkwy.","Toledo","Ohio","43659"
"499","Alleghany","7 Times Sq.","New York","New York","10036"
"500","McGraw Hill Financial","1221 Ave. of the Americas","New York","New York","10020"
